REGION,NAME,2022,2023,BIRTHS,DEATHS,MIGRATION,OTHER
3,Alabama,5073903,5108468,58251,59813,36128,-1
4,Alaska,733276,733406,9266,5581,-3539,-16
4,Arizona,7365684,7431344,78494,70792,57814,144
3,Arkansas,3046404,3067732,35566,36473,22202,33
4,California,39040616,38965193,414120,302704,-187389,550
4,Colorado,5841039,5877610,62498,45099,19167,5
1,Connecticut,3608706,3617176,34957,32842,6248,107
3,Delaware,1019459,1031890,10725,10897,12597,6
3,District of Columbia,670949,678972,7627,5020,5460,-44
3,Florida,22245521,22610726,223578,231181,372870,-62
3,Georgia,10913150,11029227,125664,97847,88325,-65
4,Hawaii,1439399,1435138,15167,12812,-6566,-50
4,Idaho,1938996,1964726,22456,16817,20053,38
2,Illinois,12582515,12549689,127235,116782,-43347,68
2,Indiana,6832274,6862199,79587,72079,22468,-51
2,Iowa,3199693,3207004,36898,33119,3509,23
2,Kansas,2936716,2940546,34768,30329,-642,33
3,Kentucky,4511563,4526154,52380,54385,16592,4
3,Louisiana,4588023,4573749,56209,50094,-20418,29
1,Maine,1389338,1395722,11945,16998,11425,12
3,Maryland,6163981,6180253,67969,53770,2072,1
1,Massachusetts,6982740,7001399,68387,61404,11498,178
2,Michigan,10033281,10037261,101911,105941,7766,244
2,Minnesota,5714300,5737915,63754,49911,9889,-117
3,Mississippi,2938928,2939690,34628,36032,2186,-20
2,Missouri,6177168,6196156,68334,68389,19023,20
4,Montana,1122878,1132812,11206,11377,10094,11
2,Nebraska,1968060,1978379,24195,18496,4607,13
4,Nevada,3177421,3194176,33055,29322,12908,114
1,New Hampshire,1399003,1402054,12155,14264,5157,3
1,New Jersey,9260817,9290841,102055,76563,4632,-100
4,New Mexico,2113476,2114371,20728,22344,2554,-43
1,New York,19673200,19571216,207450,165914,-142911,-609
3,North Carolina,10695965,10835491,121148,108491,126712,157
2,North Dakota,778912,783926,9649,6945,2289,21
2,Ohio,11759697,11785935,128826,131288,28718,-18
3,Oklahoma,4019271,4053824,48073,45506,31967,19
4,Oregon,4239379,4233358,39046,43285,-1747,-35
1,Pennsylvania,12972091,12961683,129489,140568,951,-280
1,Rhode Island,1093842,1095962,10006,10434,2553,-5
3,South Carolina,5282955,5373555,57581,58852,91853,18
2,South Dakota,909869,919318,11369,8556,6600,36
3,Tennessee,7048976,7126489,82244,81216,76471,14
3,Texas,30029848,30503301,390494,232241,315301,-101
4,Utah,3381236,3417734,45965,21169,11623,79
1,Vermont,647110,647464,5072,6876,2156,2
3,Virginia,8679099,8715698,95669,79980,21132,-222
4,Washington,7784477,7812880,82523,67663,13643,-100
3,West Virginia,1774035,1770071,17263,25929,4696,6
2,Wisconsin,5890543,5910955,59839,58692,19301,-36
4,Wyoming,581629,584057,5882,5779,2338,-13
0,Puerto Rico,3220113,3205691,18805,35099,1872,0
