Date,Opponent,At CCSF,CCSF 1Q,CCSF 2Q,CCSF 3Q,CCSF 4Q,CCSF OT,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q,Opp OT,YDS,PASS,C-A,COMP %,RUSH,R,Y/R,INT,FUM,TACK,SAC,PEN YDS,TOP
Sep 2,Santa Rosa,FALSE,13,21,3,21,0,0,0,0,14,0,652,370,29-40,73%,282,41,6.9,#N/A,#N/A,62,6,98,35:30:00
Sep 9,Sacramento City,TRUE,0,3,14,7,0,3,0,0,0,0,335,208,21-32,66%,127,32,4,#N/A,#N/A,55,4,121,29:33:00
Sep 16,Butte,TRUE,0,7,20,0,0,9,0,0,6,0,306,231,15-23,65%,75,38,2,3,#N/A,62,3,79,32:19:00
Sep 23,Fresno,FALSE,0,21,10,14,0,3,7,0,14,0,403,239,22-35,63%,164,41,4,3,#N/A,55,1,25,51:01:00
Sep 30,Sierra,TRUE,14,14,14,7,0,7,14,14,0,0,499,277,19-24,79%,222,39,5.7,#N/A,#N/A,49,4,15,33:38:00
Oct 14,San Joaquin Delta,TRUE,7,27,7,22,0,0,3,0,0,0,651,353,21-35,60%,298,38,7.8,#N/A,1,43,4,104,33:51:00
Oct 20,Laney,FALSE,7,17,7,7,0,0,0,0,15,0,405,178,18-33,55%,227,26,8.7,1,#N/A,81,1,55,22:33
Oct 28,Diablo Valley,TRUE,14,29,0,13,0,0,0,0,0,0,540,368,27-39,69%,172,31,5.5,3,#N/A,61,4,45,34:50:00
Nov 4,Chabot,FALSE,7,21,21,10,0,0,0,6,0,0,651,502,29-41,71%,149,39,3.8,#N/A,2,43,5,92,37:08:00
Nov 11,San Mateo,FALSE,10,0,0,7,0,14,0,14,16,0,305,278,25-45,56%,27,22,1.2,2,2,50,4,122,24:43:00
Nov 25,American River,FALSE,0,0,6,0,0,14,10,3,14,0,218,245,23-40,57%,-27,25,-1.1,#N/A,1,58,1,60,29:05:00
