Contributor,Recipient,Amount,Date,Recipient Viewpoint
Koch Industries,Americans for Prosperity Action,"$25,000,000",05/19/2023,Conservative
Ripple,Fairshake PAC,"$20,000,000",12/15/2023,N/A
Coinbase,Fairshake PAC,"$15,500,000",12/20/2023,N/A
Ah Capital Management,Fairshake PAC,"$14,000,000",12/14/2023,N/A
Jump Crypto,Fairshake PAC,"$5,000,000",12/13/2023,N/A
Ah Capital Management,Fairshake PAC,"$5,000,000",10/23/2023,N/A
Coinbase,Fairshake PAC,"$5,000,000",11/03/2023,N/A
Occidental Petroleum,Senate Leadership Fund,"$2,000,000",06/02/2023,Conservative
Farrington Rocket LLC,Best of America PAC,"$2,000,000",06/30/2023,Conservative
AH Capital Management,Defend American Jobs,"$1,500,000",12/15/2023,Conservative
Chevron Corp,Senate Leadership Fund,"$1,500,000",09/19/2023,Conservative
Ripple,Defend American Jobs,"$1,500,000",12/15/2023,Conservative
Ripple,Protect Progress,"$1,500,000",12/15/2023,Liberal
Coinbase,Protect Progress,"$1,500,000",12/22/2023,Liberal
Ah Capital Management,Protect Progress,"$1,500,000",10/23/2023,Liberal
Coinbase,Defend American Jobs,"$1,500,000",12/22/2023,Conservative
Chevron Corp,Congressional Leadership Fund,"$1,500,000",09/20/2023,Conservative
Rai Services Co,Senate Leadership Fund,"$1,000,000",11/09/2023,Conservative
Hillwood Development,Senate Leadership Fund,"$1,000,000",05/15/2023,Conservative
Seminole Gaming,Never Back Down Inc,"$1,000,000",08/10/2023,Conservative
CDR Maguire Inc,Fight Right Inc,"$1,000,000",12/21/2023,Conservative
ConocoPhillips,Congressional Leadership Fund,"$1,000,000",12/07/2023,Conservative
Energy Transfer Partners,Congressional Leadership Fund,"$1,000,000",12/19/2023,Conservative
Farrington Rocket Llc,Best of America PAC,"$1,000,000",09/18/2023,Conservative
TRT Holdings,Congressional Leadership Fund,"$1,000,000",12/21/2023,Conservative
ConocoPhillips,Senate Leadership Fund,"$1,000,000",12/07/2023,Conservative
Circle Internet Financial,Fairshake PAC,"$1,000,000",12/19/2023,N/A
Devon Energy,Senate Leadership Fund,"$1,000,000",11/01/2023,Conservative
SHBT LLC,Tell It Like It Is PAC,"$1,000,000",06/30/2023,Conservative
Pivotal Ventures,Campaign for a Family Friendly Economy PAC,"$1,000,000",09/01/2023,Liberal
Blue Star Investments,Tell It Like It Is PAC,"$1,000,000",06/30/2023,Conservative
Devon Energy,Congressional Leadership Fund,"$1,000,000",11/03/2023,Conservative
Hillwood Development,Congressional Leadership Fund,"$1,000,000",06/09/2023,Conservative
