Race,For Dems,Against Dems,For Repubs,Against Repubs
Pennsylvania Senate,39570169,81322826,23957259,98219173
Georgia Senate,42730486,63251936,44095363,74837797
Wisconsin Senate,13098167,50040668,24146293,33780246
Nevada Senate,20315783,47703937,7994024,37128626
Arizona Senate,22412869,30491416,21034906,33829849
North Carolina Senate,6281440,42285557,25368517,23780490
Ohio Senate,3948237,35271534,25812585,30631478
New Hampshire Senate,3992855,10641693,17520560,17843300
Alabama Senate,0,0,16613271,14998353
Colorado Senate,2186362,6179689,3164739,20011828
