Year,Movie,"MPAA
Rating",Distributor,Total Gross,Total Gross (Adjusted),Tickets Sold
1995,Batman Forever,PG-13,Warner Bros.,18403111200,38794603800,4230600200
1996,Independence Day,PG-13,20th Century Fox,30616925500,63519729900,6926906200
1997,Men in Black,PG-13,Sony Pictures,25065005200,50075402100,5460785400
1998,Titanic,PG-13,Paramount Pictures,44331908100,86678805100,9452432400
1999,Star Wars Ep. I: The Phantom Menace,PG,20th Century Fox,43044335000,77700107800,8473294200
2000,How the Grinch Stole Christmas,PG,Universal,25336745500,43105371300,4700694800
2001,Harry Potter and the Sorcerer’s Stone,PG,Warner Bros.,30040443400,48669764000,5307498800
2002,Spider-Man,PG-13,Sony Pictures,40370637500,63717512100,6948474600
2003,Finding Nemo,G,Walt Disney,33971436700,51661372000,5633737400
2004,Shrek 2,PG,Dreamworks SKG,44122624700,65153698200,7105092500
2005,Star Wars Ep. III: Revenge of the Sith,PG-13,20th Century Fox,38027057700,54400641700,5932458200
2006,Pirates of the Caribbean: Dead Man’s Chest,PG-13,Walt Disney,42331581200,59264213500,6462836800
2007,Spider-Man 3,PG-13,Sony Pictures,33653030300,44854402100,4891428800
2008,The Dark Knight,PG-13,Warner Bros.,53100157800,67817332900,7395565200
2009,Transformers: Revenge of the Fallen,PG-13,Paramount Pictures,40211187000,49164878000,5361491600
2010,Toy Story 3,G,Walt Disney,41500488000,48233139900,5259884400
2011,Harry Potter and the Deathly Hallows: Part II,PG-13,Warner Bros.,38101121900,44058926600,4804681200
2012,The Avengers,PG-13,Walt Disney,62335791000,71811457500,7831129500
2013,Iron Man 3,PG-13,Walt Disney,40899227200,46131108200,5030655200
2014,Guardians of the Galaxy,PG-13,Walt Disney,33305525800,37382089100,4076563700
2015,Star Wars Ep. VII: The Force Awakens,PG-13,Walt Disney,74220894200,80736132500,8804376500
2016,Finding Dory,PG,Walt Disney,48629556100,51552951400,5621914000
2017,Star Wars Ep. VIII: The Last Jedi,PG-13,Walt Disney,51721836800,52875054500,5766091000
2018,Black Panther,PG-13,Walt Disney,70005956600,70467027300,7684517700
2019,Avengers: Endgame,PG-13,Walt Disney,85837300000,85931009000,9370884300
2020,Bad Boys For Life,R,Sony Pictures,20441785500,20441785100,2229202300
2021,Spider-Man: No Way Home,PG-13,Sony Pictures,57298476900,57298477200,6248470800
2022,Top Gun: Maverick,PG-13,Paramount Pictures,71873282100,71873281700,7837871500
