crn,age,us,zipcode,da_cert,ds_deg,career_change,moon,self_care,study_groups,ed_level,math_ed_exp,prior_python,prior_programming,assignment_time,getting_help,commute_time,friends,work_hours,work_industry,seq_length,num_countries,movie_genres,vet,social,decision_intuition,decision_priority,daily_life,assignment_hours,assignment_days,frisco_perc,prior_stats,course_units,se_status,course_support,course_challenge,remote_work,math_108_prep,math_108_value,math_108_value_inter,first_semester,cert_degree,study_space,language_num,wake_up_time,sleep_time,reaction_time_ms,finger_length_mm,ovd_length,bday
[CRN: 34245] Hybrid: Thursdays 6:10 - 8:25 pm,29,Yes,94103,Yes,No,Yes,No,"Emotional, Social",No,Bachelor’s degree,4,Yes,5,3,5,0:15:00,10,35,Retail Trade,8,4,"Action & Adventure, Comedies, Sci-fi & Fantasy",No,With a group,Gut feelings and possibilities,Impact on people and emotions,Flexible and adaptable,"6 pm - 10 pm, 10 pm - 2 am","Tuesday, Sunday",2,7,10,Low,"Instructor, Web Search",larger coding assignments,8,3,7,expanded employment opportunities ,No,data analytics fundamentals certificate,10,1,11:00:00 AM,3:00:00 AM,359,80,70,12/7
[CRN: 34245] Hybrid: Thursdays 6:10 - 8:25 pm,53,Yes,94133,Yes,No,Yes,No,Physical,Maybe,Bachelor’s degree,7,Yes,9,8,9,0:50:00,1,13,Accommodation and Food Services,6,16,"Action & Adventure, Documentaries, Dramas",No,Alone,Gut feelings and possibilities,Logic and objectivity,Structured and organized,"10 am - 2 pm, 2 pm - 6 pm","Saturday, Sunday",10,3,14,Low,"An LLM like ChatGPT, In person chemistry tutor",None,9,9,8,Applicability,No,Continuing Education,10,2,9:00:00 AM,2:00:00 AM,385,63,74,10/1
[CRN: 34245] Hybrid: Thursdays 6:10 - 8:25 pm,26,Yes,,No,Yes,Yes,No,"Physical, Emotional, Social",No,Associate degree,8,Yes,8,5,10,0:35:00,3,0,"Professional, Scientific, and Technical Services",,3,"Comedies, Dramas, Thrillers",No,Alone,Concrete facts and details,Logic and objectivity,Structured and organized,"2 pm - 6 pm, 6 pm - 10 pm","Tuesday, Wednesday",1,7,22,High,"CS Tutor Squad, Discord",time management and hand written tests,10,8,10,working towards degree,No,Data Science AS,10,4,7:00:00 AM,12:00:00 AM,,,,5/6
[CRN: 34245] Hybrid: Thursdays 6:10 - 8:25 pm,31,Yes,94110,Maybe,No,No,No,"Physical, Emotional, Mental, Social",Maybe,Bachelor’s degree,9,Yes,6,12,10,0:08:00,3,0,"Professional, Scientific, and Technical Services",,5,"Dramas, Horror, Thrillers",No,Alone,,,Structured and organized,"10 am - 2 pm, 2 pm - 6 pm","Tuesday, Wednesday",3,7,5,Middle,"Instructor, An LLM like ChatGPT, Web Search",Applying what I learn outside of a school setting.,7,8,7,"Skills, motivation, and self-improvement.",No,Continuing Education,7,,8:30:00 AM,12:30:00 AM,,,,5/1
[CRN: 34245] Hybrid: Thursdays 6:10 - 8:25 pm,23,Yes,94103,Yes,No,Yes,Maybe,"Physical, Emotional, Mental, Social",Maybe,Bachelor’s degree,7,No,2,10,8,0:15:00,3,24,Construction,10,0,"Action & Adventure, Comedies, Horror",No,With a group,Concrete facts and details,Impact on people and emotions,Flexible and adaptable,"2 pm - 6 pm, 6 pm - 10 pm","Tuesday, Thursday",1,7,15,Middle,"Virtual Math Lab Tutor, Instructor, CS Tutor Squad, Virtual UC Berkeley Ambassadors",Coming to the in person meetings,9,7,8,Value to me means understanding and knowledge of the concepts covered.,No,"Data Analytics Fundamentals Certificate of Achievement, Geographic Information Systems Certificate of Accomplishment",10,1,6:30:00 AM,11:00:00 PM,315,84,101,2/2
[CRN: 34246] Hybrid: Wednesdays 4:40 - 6:55 pm,23,Yes,94116,No,No,No,Maybe,"Physical, Emotional, Mental, Social, Spiritual",No,Bachelor’s degree,4,No,3,6,5,0:30:00,9,40,Accommodation and Food Services,6,10,"Documentaries, Horror, Sci-fi & Fantasy",No,With a group,Concrete facts and details,Impact on people and emotions,Structured and organized,"10 am - 2 pm, 6 pm - 10 pm","Tuesday, Sunday",9,4,10,High,"Virtual Math Lab Tutor, Instructor, Web Search",Tests,8,4,5,I see it as investing in myself by the means of investing in my education ,No,Masters in psychology,10,2,8:00:00 AM,12:00:00 AM,307,76.2,76.2,7/31
[CRN: 34245] Hybrid: Thursdays 6:10 - 8:25 pm,27,Yes,94122,Maybe,Maybe,Yes,No,"Physical, Mental, Social",Maybe,Bachelor’s degree,8,Yes,5,6,5,0:30:00,5,0,None,13,21,"Action & Adventure, Comedies, Thrillers",No,With a group,Concrete facts and details,Logic and objectivity,Structured and organized,10 am - 2 pm,"Monday, Tuesday",8,8,8,Middle,"Instructor, Web Search",Python,5,5,6,Value is learning skills that can be applied in future endeavors.,No,Data Analytics Certificate,10,2,8:00:00 AM,11:00:00 PM,344,88.9,90,3/14
[CRN: 34244] Hybrid: Thursdays 1:10 - 3:25 pm,28,Yes,94122,Yes,No,Yes,Maybe,"Physical, Social",Yes,Bachelor’s degree,8,Yes,2,8,3,0:20:00,2,12,Health Care and Social Assistance,9,3,"Comedies, Dramas, Romantic",No,Alone,Gut feelings and possibilities,Logic and objectivity,Flexible and adaptable,"2 pm - 6 pm, 6 pm - 10 pm","Friday, Sunday",10,3,13,Middle,"In-person Math Lab Tutor, Virtual Math Lab Tutor, Instructor, CS Tutor Squad, Virtual UC Berkeley Ambassadors, An LLM like ChatGPT, Web Search, Student held study groups/chats","So far the hardest thing is managing this course load along with other classes and outside of school life. Especially in this course, I feel that when I fall behind one topic, is is momentous to falling behind the next topics. I am planning on using this long weekend to create more structure and catch up.",4,6,7,Importance. as well as what the individual can get out of the contents in this course,No,Community Health Worker; Data Analytics; Geographic Information Systems (GIS),6,3,6:30:00 AM,11:00:00 PM,289,70,77,5/11
[CRN: 34244] Hybrid: Thursdays 1:10 - 3:25 pm,38,No,,Maybe,Maybe,No,Maybe,"Physical, Mental, Social",Yes,Associate degree,7,No,5,8,10,0:30:00,4,35,RESTAURANT INDUSTRY,,3,"Action & Adventure, Comedies, Thrillers",No,With a group,Concrete facts and details,Impact on people and emotions,Structured and organized,"10 am - 2 pm, 2 pm - 6 pm","Monday, Thursday",5,0,5,Low,"In-person Math Lab Tutor, Virtual Math Lab Tutor, Instructor, Virtual UC Berkeley Ambassadors, Discord",CODING,7,5,10,CAREER GROWTH,No,ASSOCIATE DEGREE,3,2,10:00:00 AM,12:30:00 AM,384,32,35,7/30
[CRN: 34246] Hybrid: Wednesdays 4:40 - 6:55 pm,23,Yes,94116,No,No,No,Maybe,"Physical, Emotional, Mental, Social, Spiritual",No,Bachelor’s degree,4,No,3,6,5,0:30:00,9,40,Accommodation and Food Services,6,10,"Documentaries, Horror, Sci-fi & Fantasy",No,With a group,Concrete facts and details,Impact on people and emotions,Structured and organized,"10 am - 2 pm, 6 pm - 10 pm","Tuesday, Sunday",9,4,10,High,"Virtual Math Lab Tutor, Instructor, Web Search",Tests,8,4,5,I see it as investing in myself by the means of investing in my education ,No,Masters in psychology,10,2,8:00:00 AM,12:00:00 AM,307,76.2,76.2,7/31
