State,District,Median Income,College%
Alabama,"Congressional District 1 (115th Congress), Alabama",47083,24.0
Alabama,"Congressional District 2 (115th Congress), Alabama",42035,21.8
Alabama,"Congressional District 3 (115th Congress), Alabama",46544,22.8
Alabama,"Congressional District 4 (115th Congress), Alabama",41110,17.0
Alabama,"Congressional District 5 (115th Congress), Alabama",51690,30.3
Alabama,"Congressional District 6 (115th Congress), Alabama",61413,36.7
Alabama,"Congressional District 7 (115th Congress), Alabama",34664,19.4
Alaska,"Congressional District (at Large) (115th Congress), Alaska",76440,29.6
Arizona,"Congressional District 1 (115th Congress), Arizona",50537,24.5
Arizona,"Congressional District 2 (115th Congress), Arizona",49072,34.0
Arizona,"Congressional District 3 (115th Congress), Arizona",44224,16.5
Arizona,"Congressional District 4 (115th Congress), Arizona",49466,19.2
Arizona,"Congressional District 5 (115th Congress), Arizona",71693,36.0
Arizona,"Congressional District 6 (115th Congress), Arizona",67830,45.4
Arizona,"Congressional District 7 (115th Congress), Arizona",40991,14.0
Arizona,"Congressional District 8 (115th Congress), Arizona",61754,29.4
Arizona,"Congressional District 9 (115th Congress), Arizona",55349,37.5
Arkansas,"Congressional District 1 (115th Congress), Arkansas",40492,16.5
Arkansas,"Congressional District 2 (115th Congress), Arkansas",49498,30.0
Arkansas,"Congressional District 3 (115th Congress), Arkansas",47903,26.9
Arkansas,"Congressional District 4 (115th Congress), Arkansas",39586,15.8
California,"Congressional District 1 (115th Congress), California",47488,23.7
California,"Congressional District 10 (115th Congress), California",60235,16.6
California,"Congressional District 11 (115th Congress), California",86000,43.6
California,"Congressional District 12 (115th Congress), California",105918,59.5
California,"Congressional District 13 (115th Congress), California",73601,47.2
California,"Congressional District 14 (115th Congress), California",103850,47.5
California,"Congressional District 15 (115th Congress), California",106291,45.0
California,"Congressional District 16 (115th Congress), California",40207,12.2
California,"Congressional District 17 (115th Congress), California",121150,57.0
California,"Congressional District 18 (115th Congress), California",125790,61.5
California,"Congressional District 19 (115th Congress), California",93139,35.5
California,"Congressional District 2 (115th Congress), California",66604,40.8
California,"Congressional District 20 (115th Congress), California",67419,27.9
California,"Congressional District 21 (115th Congress), California",41174,7.9
California,"Congressional District 22 (115th Congress), California",56524,24.1
California,"Congressional District 23 (115th Congress), California",54437,20.8
California,"Congressional District 24 (115th Congress), California",68929,34.0
California,"Congressional District 25 (115th Congress), California",75367,27.8
California,"Congressional District 26 (115th Congress), California",76914,34.1
California,"Congressional District 27 (115th Congress), California",71223,40.5
California,"Congressional District 28 (115th Congress), California",63940,46.2
California,"Congressional District 29 (115th Congress), California",50655,19.2
California,"Congressional District 3 (115th Congress), California",61508,25.1
California,"Congressional District 30 (115th Congress), California",76778,42.4
California,"Congressional District 31 (115th Congress), California",58668,22.7
California,"Congressional District 32 (115th Congress), California",67101,21.4
