Word,Average Occurence (Comedy),Average Occurence (Thriller)
she,0.804501841586,0.822245235035
decid,0.0300391943043,0.029965353447
talk,0.375182893251,0.406220366927
wit,0.0136729643033,0.0196514673711
razor,0.00182135407545,0.00349839944945
slam,0.00120350333702,0.00256378452772
credit,0.0160999690435,0.00854196504617
rai,0.0282702287888,0.0327040916412
hugh,0.00201297110737,0.00286451713564
breez,0.000773770595246,0.000734406642928
conscienc,0.00278559111066,0.00481249784246
audienc,0.010608176147,0.00445720642522
cathi,0.00028019933433,0.00487263034271
log,0.00147436588348,0.00687283402841
met,0.061402271702,0.0496389739605
chosen,0.00472273691667,0.00159752496513
grip,0.00670955363635,0.00432465757166
booz,0.00262687611894,0.00245456677819
bianca,0.00536598168211,0.0
doubl,0.0158764409787,0.0145323261336
agent,0.0191357801797,0.0482685991028
exit,0.00213100385035,0.00628617526898
carpent,0.00327177344149,0.00941622845076
underground,0.00336190900045,0.00290655474663
clemenza,0.0,0.00228850387431
gain,0.00592745056359,0.00613867000976
neg,0.0095526676794,0.00947723899078
majesti,0.00730697564511,0.00115139602695
studio,0.00748043821738,0.00502369241768
chri,0.00152781928881,0.00428910268635
spin,0.00346323194875,0.00233493796545
greater,0.00330262423544,0.00316749356308
eaten,0.00294465183895,0.00271664203003
vibrat,0.00250750053527,0.00132776791583
stupid,0.0421029802894,0.0468319950301
cigarett,0.0125500731053,0.0153530565274
jesu,0.0576644742027,0.0785343623602
mani,0.0882249419744,0.0949180949322
violin,0.00353630545525,0.00107099109917
financi,0.0103970976122,0.00290029772264
bai,0.00375107848719,0.0119446864976
cop,0.0192445282945,0.0710787568272
neighbor,0.0135406027258,0.0103758557177
cd,0.00325767795702,0.00302586976951
england,0.0077176266177,0.00288362214187
made,0.137422717981,0.124798380271
conni,0.000456681118961,0.00226443458391
instinct,0.00272201036057,0.00429075797207
took,0.073770904896,0.0853659753534
jacquelin,0.0,0.0114820703056
mace,0.000332652483857,0.00386637171206
disappear,0.0127628427161,0.0267419338067
waltz,0.00192304636571,0.00139016570971
behind,0.0395975375114,0.0504371217961
bourbon,0.00160611324182,0.00119249680105
favorit,0.0229828973353,0.0118778409204
benni,0.00514959756532,0.000657254699349
manhattan,0.00307172511542,0.00499329184531
nixon,0.000432080568893,0.00284840067097
lunch,0.0252908476141,0.0176670814971
principl,0.00230463107685,0.00275184327766
tradit,0.00799741398567,0.00381143481748
counterfeit,0.0014803418898,0.00136677176218
sophi,0.00375373623437,0.00274497073055
third,0.0229328311355,0.0180059180321
exist,0.0160755057814,0.0210514672958
wouldv,0.0101071793143,0.0124672287944
hero,0.014722178721,0.011055673155
theyr,0.20507419577,0.225246476263
anytim,0.00409809310429,0.00689616644597
christin,0.0032936365256,0.000705840832892
vallei,0.00328439741165,0.00414476039123
chess,0.000146502592891,0.0042041880306
paid,0.0243273065198,0.0188689338939
burglar,0.00143592772036,0.00263697429543
nostril,0.00484432861946,0.000369346431942
rubber,0.00419718523213,0.00438218258774
human,0.0351172397486,0.0559389251383
british,0.00409630763616,0.00509515204171
plissken,0.0,0.00693802035153
eddi,0.027899865398,0.0163719671586
gee,0.0210683227923,0.00729803794486
offend,0.00381055481491,0.00283291857049
rebecca,0.00126820195345,0.000306654400491
anger,0.00353134542207,0.00277192236285
plant,0.00957924638878,0.015454989887
famou,0.0163027632736,0.005599677455
repres,0.0102823576743,0.00606832242111
latest,0.0031085938617,0.00277534214838
rent,0.0166744150718,0.0113455106849
dip,0.00422552513776,0.00200027260197
bell,0.0081614338867,0.00635388929748
andi,0.0370191915083,0.00758594965931
so,1.09634096102,0.854679225128
